legislator_id,nombre,distrito,bloque,mandato_inicio,mandato_fin,foto
HCDN1440,"Monzo, Emilio",Buenos Aires,Encuentro Federal,2021-12-10,2025-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1440.jpg
HCDN3045,"Monzon, Roxana",Buenos Aires,Unión por la Patria,2023-12-10,2027-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN3045.jpg
HCDN2767,"Morales Gorleri, Victoria",CABA,Pro,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2767.jpg
HCDN2397,"Morales, Flavia",Misiones,Frente de la Concordia Misionero,2017-12-10,2021-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2397.jpg
HCDN1531,"Morales, Mariana Elizabet",Santiago del Estero,Federal Unidos por una Nueva Argentina,2015-12-10,2019-12-09,
HCDN1080,"Moran, Juan Carlos",Buenos Aires,Coalicion Civica,2007-12-10,2011-12-09,
HCDN3008,"Moran, Micaela",Buenos Aires,Unión por la Patria,2021-12-10,2025-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN3008.jpg
HCDN1007,"Morante, Antonio Arnaldo Maria",Chaco,Frente para la Victoria - Pj,2007-12-10,2011-12-09,
HCDN3046,"Morchio, Francisco",Entre Ríos,La Libertad Avanza,2023-12-10,2027-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN3046.jpg
HCDN1463,"Moreau, Cecilia",Buenos Aires,Federal Unidos por una Nueva Argentina,2015-12-10,2019-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1463.jpg
HCDN1463,"Moreau, Cecilia",Buenos Aires,Frente de Todos,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1463.jpg
HCDN1463,"Moreau, Cecilia",Buenos Aires,Unión por la Patria,2023-12-10,2027-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1463.jpg
HCDN0303,"Moreau, Leopoldo Raul Guido",Buenos Aires,Frente de Todos,2017-12-10,2021-12-09,
HCDN0303,"Moreau, Leopoldo Raul Guido",Buenos Aires,Unión por la Patria,2021-12-10,2025-12-09,
HCDN1008,"Morejon, Manuel Amor",Chubut,Peronista,2007-12-10,2011-12-09,
HCDN3103,"Moreno Ovalle, Julio",Salta,La Libertad Avanza,2023-12-10,2027-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN3103.jpg
HCDN0905,"Moreno, Carlos Julio",Buenos Aires,Frente para la Victoria - Pj,2009-12-10,2013-12-09,
HCDN0905,"Moreno, Carlos Julio",Buenos Aires,Frente para la Victoria - Pj,2013-12-10,2017-12-09,
HCDN3104,"Moreno, Maria de los Angeles",San Juan,Produccion y Trabajo,2021-12-10,2025-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN3104.jpg
HCDN2536,"Moretti, Jose Luis",La Rioja,Federal Unidos por una Nueva Argentina,2015-12-10,2019-12-09,
HCDN2398,"Mosqueda, Juan",Chaco,Frente de Todos,2017-12-10,2021-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2398.jpg
HCDN1193,"Mouilleron, Roberto Mario",Buenos Aires,Frente Renovador,2009-12-10,2013-12-09,
HCDN2857,"Mounier, Patricia",Santa Fe,Frente de Todos,2017-12-10,2021-12-09,
HCDN3241,"Moyano, Hugo Antonio",Buenos Aires,Unión por la Patria,2025-12-10,2029-12-09,
HCDN1283,"Moyano, Juan Facundo",Buenos Aires,Frente Renovador,2011-12-10,2015-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1283.jpg
HCDN1283,"Moyano, Juan Facundo",Buenos Aires,Red por Argentina,2015-12-10,2019-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1283.jpg
HCDN1283,"Moyano, Juan Facundo",Buenos Aires,Frente de Todos,2019-12-10,2021-08-13,https://api.argentinadatos.com/static/diputados/diputados/HCDN1283.jpg
HCDN2980,"Moyano, Nilda",Santiago del Estero,Unión por la Patria,2021-12-10,2025-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2980.jpg
HCDN3015,"Mraida, Gabriel Sebastian",Buenos Aires,Pro,2019-12-10,2023-06-30,https://api.argentinadatos.com/static/diputados/diputados/HCDN3015.jpg
HCDN3191,"Mukdise, Jorge",Santiago del Estero,Unión por la Patria,2025-12-10,2029-12-09,
HCDN1284,"Müller, Edgar Raul",Córdoba,Compromiso Federal,2011-12-10,2015-12-09,
HCDN0019,"Müller, Mabel Hilda",Buenos Aires,Frente Renovador,2009-12-10,2013-12-09,
HCDN3251,"Muñoz, Gabriela Luciana",Neuquén,La Libertad Avanza,2023-12-10,2027-12-09,
HCDN2434,"Muñoz, Rosa Rosario",Chubut,Frente de Todos,2017-12-10,2021-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2434.jpg
HCDN2399,"Najul, Claudia",Mendoza,Ucr,2017-12-10,2021-12-09,
HCDN1487,"Nanni, Miguel",Salta,Ucr,2015-12-10,2019-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1487.jpg
HCDN1487,"Nanni, Miguel",Salta,Ucr,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1487.jpg
HCDN1285,"Navarro, Graciela",Santiago del Estero,Frente Civico por Santiago,2011-12-10,2015-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1285.jpg
HCDN1285,"Navarro, Graciela",Santiago del Estero,Frente Civico por Santiago,2015-12-10,2019-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1285.jpg
