legislator_id,law_id,acta_id,legislador,distrito,bloque,voto,voto_raw,hcdn_asset_id,foto
HCDN3067,ley-bases-sancion-2024,5272,"Vallejos, Alfredo",Corrientes,Ucr - Unión Cívica Radical,AFIRMATIVO,afirmativo,REC2037,https://api.argentinadatos.com/static/diputados/diputados/HCDN3067.jpg
HCDN3077,ley-bases-sancion-2024,5272,"Zulli, Christian Alejandro",Corrientes,Unión por la Patria,NEGATIVO,negativo,REC2038,https://api.argentinadatos.com/static/diputados/diputados/HCDN3077.jpg
HCDN3018,ley-bases-sancion-2024,5272,"Agost Carreño, Oscar",Córdoba,Encuentro Federal,AFIRMATIVO,afirmativo,REC1948,https://api.argentinadatos.com/static/diputados/diputados/HCDN3018.jpg
HCDN3020,ley-bases-sancion-2024,5272,"Fernandez, Elia Marina",Tucumán,Independencia,AFIRMATIVO,afirmativo,REC1951,https://api.argentinadatos.com/static/diputados/diputados/HCDN3020.jpg
HCDN3022,ley-bases-sancion-2024,5272,"Arancibia Rodriguez, Alberto Gustavo",San Luis,La Libertad Avanza,AFIRMATIVO,afirmativo,REC1952,https://api.argentinadatos.com/static/diputados/diputados/HCDN3022.jpg
HCDN3104,ley-bases-sancion-2024,5272,"Moreno, Maria de los Angeles",San Juan,Produccion y Trabajo,AFIRMATIVO,afirmativo,REC2041,https://api.argentinadatos.com/static/diputados/diputados/HCDN3104.jpg
HCDN3023,ley-bases-sancion-2024,5272,"Araujo, Maria Fernanda",CABA,La Libertad Avanza,AFIRMATIVO,afirmativo,REC2045,https://api.argentinadatos.com/static/diputados/diputados/HCDN3023.jpg
HCDN1148,paquete-fiscal-sancion-2024,5276,"Benedetti, Atilio",Entre Ríos,Ucr - Unión Cívica Radical,AFIRMATIVO,afirmativo,A4774,https://api.argentinadatos.com/static/diputados/diputados/HCDN1148.jpg
HCDN2431,paquete-fiscal-sancion-2024,5276,"Yedlin, Pablo Raul",Tucumán,Unión por la Patria,NEGATIVO,negativo,A51126,https://api.argentinadatos.com/static/diputados/diputados/HCDN2431.jpg
HCDN2429,paquete-fiscal-sancion-2024,5276,"Yasky, Hugo",Buenos Aires,Unión por la Patria,NEGATIVO,negativo,A51095,https://api.argentinadatos.com/static/diputados/diputados/HCDN2429.jpg
HCDN2422,paquete-fiscal-sancion-2024,5276,"Stefani, Hector Antonio",Tierra del Fuego,Pro,AFIRMATIVO,afirmativo,A51130,https://api.argentinadatos.com/static/diputados/diputados/HCDN2422.jpg
HCDN2445,paquete-fiscal-sancion-2024,5276,"Herrera, Bernardo Jose",Santiago del Estero,Unión por la Patria,NEGATIVO,negativo,A51138,https://api.argentinadatos.com/static/diputados/diputados/HCDN2445.jpg
HCDN2340,paquete-fiscal-sancion-2024,5276,"Neder, Estela Mary",Santiago del Estero,Unión por la Patria,NEGATIVO,negativo,A51059,https://api.argentinadatos.com/static/diputados/diputados/HCDN2340.jpg
HCDN2754,paquete-fiscal-sancion-2024,5276,"Rizzotti, Jorge",Jujuy,Provincias Unidas,AFIRMATIVO,afirmativo,A51183,https://api.argentinadatos.com/static/diputados/diputados/HCDN2754.jpg
HCDN0972,paquete-fiscal-sancion-2024,5276,"Aguirre, Hilda",La Rioja,Unión por la Patria,NEGATIVO,negativo,A4608,https://api.argentinadatos.com/static/diputados/diputados/HCDN0972.jpg
HCDN1463,paquete-fiscal-sancion-2024,5276,"Moreau, Cecilia",Buenos Aires,Unión por la Patria,NEGATIVO,negativo,A50898,https://api.argentinadatos.com/static/diputados/diputados/HCDN1463.jpg
vote-estevez-gabriela,paquete-fiscal-sancion-2024,5276,"Estevez, Gabriela",,,NEGATIVO,negativo,A50936,
