id,nombre,distrito,source,foto
HCDN1237,"Avoscan, Herman Horacio",Río Negro,argentinadatos,
HCDN2358,"Ayala, Aida Beatriz Maxima",Chaco,argentinadatos,
HCDN2947,"Bachey, Karina Ethel",San Luis,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2947.jpg
HCDN2359,"Bahillo, Juan Jose",Entre Ríos,argentinadatos,
HCDN1530,"Balbo, Elva Susana",Mendoza,argentinadatos,
HCDN1238,"Balcedo, Maria Ester",Buenos Aires,argentinadatos,
HCDN1364,"Baldassi, Hector W.",Córdoba,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN1364.jpg
HCDN1034,"Baldata, Griselda Angela",Córdoba,argentinadatos,
HCDN3143,"Ballejos, Nancy",Entre Ríos,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN3143.jpg
HCDN1447,"Banfi, Karina",Buenos Aires,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN1447.jpg
HCDN2770,"Barbaro, Hector Cacho",Misiones,argentinadatos,
HCDN1146,"Barbieri, Mario Leandro",Buenos Aires,argentinadatos,
HCDN3223,"Barbur, Marcelo",Santiago del Estero,argentinadatos+hcdn,
HCDN1239,"Barchetta, Omar Segundo",Santa Fe,argentinadatos,
HCDN1389,"Bardeggia, Luis Maria",Río Negro,argentinadatos,
HCDN2906,"Barletta, Mario",Santa Fe,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2906.jpg
HCDN1401,"Barletta, Mario Domingo",Santa Fe,argentinadatos,
HCDN1147,"Barrandeguy, Raul Enrique",Entre Ríos,argentinadatos,
HCDN1373,"Barreto, Jorge Ruben",Entre Ríos,argentinadatos,
HCDN0977,"Barrios, Miguel Angel",Santa Fe,argentinadatos,
HCDN0578,"Basteiro, Sergio Ariel",Buenos Aires,argentinadatos,
HCDN1240,"Basterra, Luis Eugenio",Formosa,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN1240.jpg
HCDN3268,"Basualdo, Atilio",Formosa,argentinadatos+hcdn,
HCDN3209,"Basualdo, Carolina",Córdoba,argentinadatos+hcdn,
HCDN1241,"Bazze, Miguel Angel",Buenos Aires,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN1241.jpg
HCDN3201,"Becerra, Monica",San Luis,argentinadatos+hcdn,
HCDN0978,"Bedano, Nora Esther",Córdoba,argentinadatos,
HCDN1570,"Bellocq, Gerardo Alberto",Córdoba,argentinadatos,
HCDN0979,"Belous, Nelida",Tierra del Fuego,argentinadatos,
HCDN0980,"Benas, Veronica Claudia",Santa Fe,argentinadatos,
HCDN1148,"Benedetti, Atilio",Entre Ríos,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN1148.jpg
HCDN3111,"Benedit, Beltran",Entre Ríos,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN3111.jpg
HCDN3064,"Benegas Lynch, Bertie",Buenos Aires,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN3064.jpg
HCDN1359,"Bergman, Sergio Alejandro",CABA,argentinadatos,
HCDN2777,"Berhongaray, Martin Antonio",La Pampa,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2777.jpg
HCDN2360,"Berisso, Hernan",Buenos Aires,argentinadatos,
HCDN2917,"Bermejo, Adolfo",Mendoza,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2917.jpg
HCDN2802,"Bermejo, Alejandro Daniel",Mendoza,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2802.jpg
HCDN1560,"Bermejo, Sixto Osvaldo",Chubut,argentinadatos,
HCDN1432,"Bernabey, Ramon Ernesto",Córdoba,argentinadatos,
HCDN1149,"Bernal, Maria Eugenia",Jujuy,argentinadatos,
HCDN1097,"Bernazza, Claudia Alicia",Buenos Aires,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN1097.jpg
HCDN0853,"Bertol, Paula Maria",CABA,argentinadatos,
