id,list_id,election_id,district_id,order,rol,nombre,elected,legislator_id,match_confidence,mandato_inicio,mandato_fin,foto
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-06,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,6,titular,"LANZETTE, ANDREA BERNARDA",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-07,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,7,titular,"PACAGNINI, GUILLERMO ENRIQUE",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-08,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,8,titular,"BIAGGIO, NORA IRIS",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-09,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,9,titular,"MENIÑO, JOSE MANUEL",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-10,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,10,titular,"GENTILE, NIDIA LORENA",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-11,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,11,titular,"REYNOSO, EDGARDO ERNESTO",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-12,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,12,titular,"THOM, DIANA ELISABET",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-13,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,13,titular,"AYALA, EDUARDO",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-14,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,14,titular,"GARRALDA, PIA",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-15,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,15,titular,"CARREÑO, CLAUDIO ENRIQUE",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-16,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,16,titular,"CALDERON, GRACIELA BEATRIZ",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-17,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,17,titular,"CACERES, GUILLERMO KANE",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-18,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,18,titular,"MOREIRA, DANIELA FERNANDA",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-19,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,19,titular,"MARTINEZ, DIEGO GASTON",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-20,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,20,titular,"URRUTI, ANA MARIA",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-21,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,21,titular,"BEICA, JUAN CARLOS",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-22,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,22,titular,"MATUSEVICIUS, JORGELINA",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-23,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,23,titular,"SUCHER, LUIS MARIANO",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-24,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,24,titular,"ROSA, GABRIELA VICTORIA SOLEDAD DE LA",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-25,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,25,titular,"GARCIA, SERGIO DANIEL",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-26,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,26,titular,"MENDEZ, MONICA SILVIA",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-27,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,27,titular,"SIERRA, DANIEL ERNESTO",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-28,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,28,titular,"CHAMPEAU, MARIA LAURA",false,,,,,
